"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202106","D Electricity, gas, heat, cooling","Imports by countries of origin",258778105,128.3,1.5,100.0,550865341,109.4,1.7,100.0
"202106","D Electricity, gas, heat, cooling","Exports by countries of destination",89881557,101.5,0.5,100.0,154578997,72.0,0.5,100.0
"202106","ZZ Other products","Imports by countries of origin",5469057221,18.1,31.9,100.0,11257620431,9.4,33.8,100.0
"202106","ZZ Other products","Exports by countries of destination",2209893503,38.1,13.5,100.0,4112087832,20.7,13.1,100.0
"202106","X Unspecified","Imports by countries of origin",880290707,17.2,5.1,100.0,1593165094,4.2,4.8,100.0
"202106","X Unspecified","Exports by countries of destination",364105238,31.1,2.2,100.0,648889589,7.0,2.1,100.0
"202103","TOTAL In total","Imports by countries of origin",16180643442,2.0,100.0,100.0,16180643442,2.0,100.0,100.0
"202103","TOTAL In total","Exports by countries of destination",15065553357,4.4,100.0,100.0,15065553357,4.4,100.0,100.0
"202103","A Agricultural, forestry and fishery products","Imports by countries of origin",497934773,-4.3,3.1,100.0,497934773,-4.3,3.1,100.0
"202103","A Agricultural, forestry and fishery products","Exports by countries of destination",173877618,34.9,1.2,100.0,173877618,34.9,1.2,100.0
"202103","B Mining and quarrying products","Imports by countries of origin",1837287065,5.7,11.4,100.0,1837287065,5.7,11.4,100.0
"202103","B Mining and quarrying products","Exports by countries of destination",220532695,67.3,1.5,100.0,220532695,67.3,1.5,100.0
"202103","C Industrial products","Imports by countries of origin",12534893970,0.9,77.5,100.0,12534893970,0.9,77.5,100.0
"202103","C Industrial products","Exports by countries of destination",14192896128,3.8,94.2,100.0,14192896128,3.8,94.2,100.0
"202103","C 16-18 Forest industry products","Imports by countries of origin",328702650,-9.7,2.0,100.0,328702650,-9.7,2.0,100.0
"202103","C 16-18 Forest industry products","Exports by countries of destination",2791268495,12.5,18.5,100.0,2791268495,12.5,18.5,100.0
